pde,coverage,simp_v_mean,simp_v_std,pde_find_mean,pde_find_std,improvement_x,n_seeds
burgers,100%,1.3771,0.5487,1.9549,0.0000,1.42,3
burgers,20%,21.4148,17.9765,90.5626,1.7803,4.23,3
burgers,40%,13.3882,10.7377,79.9675,4.7622,5.97,3
burgers,60%,5.2680,3.3938,69.0129,8.9856,13.10,3
burgers,80%,0.3931,0.2584,39.0066,6.7002,99.24,3
kdv,100%,6.0385,0.0050,534.6848,0.0000,88.55,3
kdv,20%,90.8522,6.4782,100.0000,0.0000,1.10,3
kdv,40%,93.3245,5.1271,100.0000,0.0000,1.07,3
kdv,60%,93.7416,3.9559,100.0000,0.0000,1.07,3
kdv,80%,93.2093,4.6761,100.0000,0.0000,1.07,3
ks,100%,4.3866,1.8575,2.3065,0.0000,0.53,3
ks,20%,3.3769,0.8958,97.3919,0.5070,28.84,3
ks,40%,4.6518,1.8894,95.1972,0.9358,20.46,3
ks,60%,1.3390,1.2449,93.1048,1.7939,69.53,3
ks,80%,2.2259,2.0580,91.5989,0.5739,41.15,3
nls,100%,24.4892,4.1961,100.0000,0.0000,4.08,3
nls,20%,26.5437,7.2471,100.0000,0.0000,3.77,3
nls,40%,24.6344,4.7654,100.0000,0.0000,4.06,3
nls,60%,24.1922,3.4100,100.0000,0.0000,4.13,3
nls,80%,32.5501,7.9881,100.0000,0.0000,3.07,3
schrodinger,100%,15.3672,5.6325,92.9495,0.0000,6.05,3
schrodinger,20%,2.8168,3.8962,91.4462,1.1801,32.47,3
schrodinger,40%,1.1368,1.5391,93.1004,1.1443,81.89,3
schrodinger,60%,0.6849,0.3538,93.5302,0.3616,136.57,3
schrodinger,80%,1.5141,1.2496,92.9599,0.3591,61.40,3
